country,code, gni , skulspend , death , healthexp , unemp , water , skul ,maternal
Afghanistan,AFG, 500 , 2.86 , 7.11 , 80.29 , 11.71 , 75.09 ,,620
Albania,ALB," 5,270 ", 3.10 , 10.79 ,, 13.07 , 95.07 , 94.28 ,8
Algeria,DZA," 3,610 ", 7.04 , 5.40 , 214.85 , 12.25 , 94.44 ,,78
American Samoa,ASM,,, 5.60 ,,, 99.77 ,,
Andorra,AND,,,," 3,336.92 ",, 100.00 ,,
Angola,AGO," 1,690 ", 2.42 , 7.82 , 50.74 , 10.35 , 57.17 ,,222
Antigua and Barbuda,ATG," 15,010 ", 3.45 , 5.96 , 830.34 ,,,,21
Argentina,ARG," 9,010 ", 5.02 , 8.51 , 863.71 , 11.46 ,, 110.13 ,45
Armenia,ARM," 4,470 ", 2.71 , 12.79 , 551.54 , 12.18 , 99.97 , 87.25 ,27
Aruba,ABW," 24,840 ",, 9.69 ,,,,,
Australia,AUS," 53,620 ", 6.10 , 6.30 ," 5,901.11 ", 6.46 , 99.97 , 134.45 ,3
Austria,AUT," 48,990 ", 5.07 , 10.30 ," 5,585.09 ", 5.36 , 100.00 , 100.37 ,5
Azerbaijan,AZE," 4,480 ", 4.33 , 7.50 , 191.23 , 7.16 , 96.04 , 94.09 ,41
"Bahamas, The",BHS," 23,270 ", 2.37 , 8.08 ," 1,851.00 ", 12.87 ,,,77
Bahrain,BHR," 22,960 ", 2.15 , 2.24 ," 1,110.00 ", 1.67 , 100.00 ,,16
Bangladesh,BGD," 2,300 ", 2.05 , 5.82 , 50.66 , 5.21 , 97.70 , 74.36 ,123
Barbados,BRB," 16,230 ", 3.06 , 8.97 ," 1,199.71 ", 10.11 , 98.51 , 104.02 ,39
Belarus,BLR," 6,400 ", 4.95 , 16.55 , 408.09 , 4.05 , 96.53 , 103.47 ,1
Belgium,BEL," 46,040 ", 6.71 , 11.00 ," 5,009.46 ", 5.55 , 100.00 , 151.57 ,5
Belize,BLZ," 5,210 ", 7.53 , 5.24 , 277.99 , 10.79 , 98.40 , 85.25 ,130
Benin,BEN," 1,230 ", 3.00 , 9.36 , 32.13 , 1.67 , 65.41 , 47.50 ,523
Bermuda,BMU," 111,800 ", 1.87 , 8.80 ,,, 99.90 ,,
Bhutan,BTN," 2,840 ", 5.90 , 6.55 , 133.70 , 5.03 , 97.31 ,,60
Bolivia,BOL," 3,120 ", 9.84 , 9.30 , 241.12 , 7.90 , 93.39 , 90.21 ,161
Bosnia and Herzegovina,BIH," 6,120 ",, 14.09 , 591.41 , 15.27 , 96.11 ,,6
