District,County,Name,type,Students,p_minority, Diversity ,teachers,spendrat,avgsal,teachrat,p_5yearsexp,poorpct,Language limit,p_gifted,p_special,p_moved,p_passed,attendance
ALLEN ISD,COLLIN,D L ROUNTREE EL,1,645,12.56,2.2,37.1,3199,31970,17.4,27,11.63,0.31,2.33,12.25,12.4,77.14,97
ALLEN ISD,COLLIN,ALTON BOYD EL,1,608,17.93,2.94,36.3,3523,31108,16.8,27.3,14.8,0,2.14,10.03,20.23,75.68,96.7
ALLEN ISD,COLLIN,GENE M REED JR EL,1,720,9.58,1.73,38.9,3228,32250,18.5,31.7,2.22,0.69,4.44,8.47,9.03,87.95,96.8
ALLEN ISD,COLLIN,ALVIS C STORY EL,1,720,11.53,2.04,41.5,2999,29749,17.4,25.2,1.81,0.28,3.19,13.75,14.17,88.16,97.1
ALLEN ISD,COLLIN,MAX O VAUGHAN EL,1,770,11.56,2.04,44.1,3015,29707,17.5,30.8,2.73,0,3.38,9.87,11.43,89.59,97.1
ALLEN ISD,COLLIN,FLOSSIE FLOYD GREEN EL,1,663,11.31,2.01,41.2,2595,26251,16.1,17.3,5.88,3.47,5.58,12.97,0,80.54,0
ANNA ISD,COLLIN,ANNA EL,1,430,15.81,2.66,28.8,2474,28032,14.9,17.6,41.86,3.72,3.02,12.33,17.91,67.04,96.2
CELINA ISD,COLLIN,CELINA MIDDLE,2,288,23.61,3.61,19.7,3221,28800,14.6,11.9,32.99,1.39,17.71,16.32,14.58,55.6,96.9
CELINA ISD,COLLIN,CELINA EL,1,320,20,3.2,20.8,3533,30081,15.4,14.7,32.19,5.63,7.81,15.31,15,72.51,96.5
FARMERSVILLE ISD,COLLIN,TATUM EL,1,560,24.82,3.73,37,3176,28294,15.1,24,40,6.61,2.68,9.82,15,65.72,95.8
FRISCO ISD,COLLIN,I S ROGERS EL,1,664,25.45,3.79,40.9,3078,27457,16.2,19,27.71,8.73,6.33,15.21,21.54,80.53,96.4
FRISCO ISD,COLLIN,CLAUDE CURTSINGER EL,1,469,20.9,3.31,27.6,3157,26545,17,11.4,14.07,8.96,2.77,10.23,0,93.6,0
MCKINNEY ISD,COLLIN,FINCH EL,1,415,52.29,4.99,30.5,4437,28338,13.6,20.5,58.55,0,1.2,13.49,30.36,39.13,95.7
MCKINNEY ISD,COLLIN,WEBB EL,1,481,58.42,4.86,33,4164,30129,14.6,23,70.27,0,2.08,14.76,16.22,41.64,96.1
MCKINNEY ISD,COLLIN,BURKS EL,1,383,32.64,4.4,25.8,4265,28899,14.8,14.5,34.46,0.26,2.35,12.27,27.94,63.35,95.6
MCKINNEY ISD,COLLIN,CALDWELL EL,1,575,57.74,4.88,34.7,3516,28822,16.6,20.4,66.78,15.13,1.22,9.91,18.26,64.1,95.5
MCKINNEY ISD,COLLIN,VALLEY CREEK EL,1,657,7.31,1.36,36.2,2898,28539,18.1,23.5,4.72,0,4.72,5.18,21.77,93.79,97.1
